Phenomenological analysis of densification mechanism during spark plasma  sintering of MgAl2O4
Atomic force microscopy study of the surface degradation mechanisms of  zirconia based ceramics
Topological Phases in Nodeless Tetragonal Superconductors
Ground-state phase diagram of the frustrated spin-1/2 two-leg honeycomb  ladder
Entanglement structure of current-driven diffusive fermion systems
One million percent tunnel magnetoresistance in a magnetic van der Waals  heterostructure
An Ice Structuring Mechanism for Zirconium Acetate
Dynamics of the freezing front during the solidification of a colloidal  alumina aqueous suspension: in situ X-ray radiography, tomography and  modeling
Transition between algebraic and $\mathbb{Z}_2$ quantum spin liquids at  large $N$
Strain Engineering of the Intrinsic Spin Hall Conductivity in a  SrTiO$_3$ Quantum Well
Influence of hydrodynamic interactions on stratification in drying  mixtures
Growth of Thin Oxidation-Resistive Crystalline Si Nanostructures on  Graphene
Experimental demonstration of correlated flux scaling in  photoconductivity and photoluminescence of lead-halide perovskites
Thermoelectric interferometry on a Quantum Point Contact
Magnetic Phase Dependence of the Anomalous Hall Effect in Mn$_3$Sn  Single Crystals
Understanding current-driven dynamics of magnetic domain walls in  systems with spin-orbit coupling
Gate-defined quantum dot in a strong in-plane magnetic field: orbital  effects
Transistor concepts based on lateral heterostructures of metallic and  semiconducting phases of MoS$_2$
Vibration-induced modulation of magnetic anisotropy in a magnetic  molecule
Exact Solutions and Degenerate Properties of Spin Chains with Reducible  Hamiltonians
Spin relaxation in wurtzite nanowires
Quantum corrections of work statistics in closed quantum systems
Pairing symmetry of interacting fermions on twisted bilayer graphene  superlattice
Spectroscopy of Quantum-Dot Orbitals with In-Plane Magnetic Fields
Laser Stimulated Grain Growth in 304 Stainless Steel Anodes for Reduced  Hydrogen Outgassing
Work Function Characterization of the Directionally Solidified LaB6 VB2  Eutectic
Superconducting Sweet-Spot in Microcrystalline Graphite Revealed by  Point-Contact Spectroscopy
Ultra-low-field magneto-elastocaloric cooling in a multiferroic  composite device
The Role of Crystal Orientation in the Dissolution of UO$_2$ Thin Films
Quantum Wires and Waveguides Formed in Graphene by Strain
Searching for topological Fermi arcs via quasiparticle interference on a  type-II Weyl semimetal MoTe$_2$
Intrinsic Magnetoresistance in Three-Dimensional Dirac Materials
Evidence of large magnetic cooling power and double glass transition in  Tb5Pd2
Resonance states near a quantum magnetic impurity in single-layer FeSe  superconductors with $d$-wave symmetry
Dynamics of a single hole in the Heisenberg-Kitaev model: a  self-consistent Born approximation study
